Store,Dept,Date,IsHoliday,Predicted_Weekly_Sales,PredictionSource,Predicted_Weekly_Sales_Raw,Operational_Forecast,Forecast_Adjusted
1,1,2012-11-02,False,40325.445173401065,RandomForest,40325.445173401065,40325.445173401065,False
1,1,2012-11-09,False,19777.173121368247,RandomForest,19777.173121368247,19777.173121368247,False
1,1,2012-11-16,False,20908.434556795415,RandomForest,20908.434556795415,20908.434556795415,False
1,1,2012-11-23,True,21468.402398043127,RandomForest,21468.402398043127,21468.402398043127,False
1,1,2012-11-30,False,26131.91333942258,RandomForest,26131.91333942258,26131.91333942258,False
1,1,2012-12-07,False,35022.12632021028,RandomForest,35022.12632021028,35022.12632021028,False
1,1,2012-12-14,False,43389.118530545325,RandomForest,43389.118530545325,43389.118530545325,False
1,1,2012-12-21,False,45262.96641984346,RandomForest,45262.96641984346,45262.96641984346,False
1,1,2012-12-28,True,25595.031332941144,RandomForest,25595.031332941144,25595.031332941144,False
1,1,2013-01-04,False,18648.910229530793,RandomForest,18648.910229530793,18648.910229530793,False
1,1,2013-01-11,False,18073.382978229805,RandomForest,18073.382978229805,18073.382978229805,False
1,1,2013-01-18,False,19181.62920745826,RandomForest,19181.62920745826,19181.62920745826,False
1,1,2013-01-25,False,18944.191753127023,RandomForest,18944.191753127023,18944.191753127023,False
1,1,2013-02-01,False,25256.84885868839,RandomForest,25256.84885868839,25256.84885868839,False
1,1,2013-02-08,True,38325.39641879864,RandomForest,38325.39641879864,38325.39641879864,False
1,1,2013-02-15,False,53941.25674297893,RandomForest,53941.25674297893,53941.25674297893,False
1,1,2013-02-22,False,22301.311761526038,RandomForest,22301.311761526038,22301.311761526038,False
1,1,2013-03-01,False,21525.302041672552,RandomForest,21525.302041672552,21525.302041672552,False
1,1,2013-03-08,False,22299.54677988389,RandomForest,22299.54677988389,22299.54677988389,False
1,1,2013-03-15,False,24691.592706848132,RandomForest,24691.592706848132,24691.592706848132,False
1,1,2013-03-22,False,24187.579962856453,RandomForest,24187.579962856453,24187.579962856453,False
1,1,2013-03-29,False,30198.971788920597,RandomForest,30198.971788920597,30198.971788920597,False
1,1,2013-04-05,False,54003.4543378086,RandomForest,54003.4543378086,54003.4543378086,False
1,1,2013-04-12,False,35755.19265079074,RandomForest,35755.19265079074,35755.19265079074,False
1,1,2013-04-19,False,17759.706192422207,RandomForest,17759.706192422207,17759.706192422207,False
1,1,2013-04-26,False,17338.766726935195,RandomForest,17338.766726935195,17338.766726935195,False
1,1,2013-05-03,False,18070.95620041891,RandomForest,18070.95620041891,18070.95620041891,False
1,1,2013-05-10,False,18569.864274110158,RandomForest,18569.864274110158,18569.864274110158,False
1,1,2013-05-17,False,19061.839851578196,RandomForest,19061.839851578196,19061.839851578196,False
1,1,2013-05-24,False,17176.882050621276,RandomForest,17176.882050621276,17176.882050621276,False
1,1,2013-05-31,False,17208.92749794066,RandomForest,17208.92749794066,17208.92749794066,False
1,1,2013-06-07,False,18048.361026318016,RandomForest,18048.361026318016,18048.361026318016,False
1,1,2013-06-14,False,17813.773306537383,RandomForest,17813.773306537383,17813.773306537383,False
1,1,2013-06-21,False,17303.465959278114,RandomForest,17303.465959278114,17303.465959278114,False
1,1,2013-06-28,False,16607.843285240073,RandomForest,16607.843285240073,16607.843285240073,False
1,1,2013-07-05,False,18338.708763924216,RandomForest,18338.708763924216,18338.708763924216,False
1,1,2013-07-12,False,17251.181014425998,RandomForest,17251.181014425998,17251.181014425998,False
1,1,2013-07-19,False,17152.46671888823,RandomForest,17152.46671888823,17152.46671888823,False
