Store,Dept,Date,IsHoliday,Predicted_Weekly_Sales,PredictionSource
1,1,2012-11-02,False,40325.445173401065,RandomForest
1,1,2012-11-09,False,19777.173121368247,RandomForest
1,1,2012-11-16,False,20908.434556795415,RandomForest
1,1,2012-11-23,True,21468.402398043127,RandomForest
1,1,2012-11-30,False,26131.91333942258,RandomForest
1,1,2012-12-07,False,35022.12632021028,RandomForest
1,1,2012-12-14,False,43389.118530545325,RandomForest
1,1,2012-12-21,False,45262.96641984346,RandomForest
1,1,2012-12-28,True,25595.031332941144,RandomForest
1,1,2013-01-04,False,18648.910229530793,RandomForest
1,1,2013-01-11,False,18073.382978229805,RandomForest
1,1,2013-01-18,False,19181.62920745826,RandomForest
1,1,2013-01-25,False,18944.191753127023,RandomForest
1,1,2013-02-01,False,25256.84885868839,RandomForest
1,1,2013-02-08,True,38325.39641879864,RandomForest
1,1,2013-02-15,False,53941.25674297893,RandomForest
1,1,2013-02-22,False,22301.311761526038,RandomForest
1,1,2013-03-01,False,21525.302041672552,RandomForest
1,1,2013-03-08,False,22299.54677988389,RandomForest
1,1,2013-03-15,False,24691.592706848132,RandomForest
1,1,2013-03-22,False,24187.579962856453,RandomForest
1,1,2013-03-29,False,30198.971788920597,RandomForest
1,1,2013-04-05,False,54003.4543378086,RandomForest
1,1,2013-04-12,False,35755.19265079074,RandomForest
1,1,2013-04-19,False,17759.706192422207,RandomForest
1,1,2013-04-26,False,17338.766726935195,RandomForest
1,1,2013-05-03,False,18070.95620041891,RandomForest
1,1,2013-05-10,False,18569.864274110158,RandomForest
1,1,2013-05-17,False,19061.839851578196,RandomForest
1,1,2013-05-24,False,17176.882050621276,RandomForest
1,1,2013-05-31,False,17208.92749794066,RandomForest
1,1,2013-06-07,False,18048.361026318016,RandomForest
1,1,2013-06-14,False,17813.773306537383,RandomForest
1,1,2013-06-21,False,17303.465959278114,RandomForest
1,1,2013-06-28,False,16607.843285240073,RandomForest
1,1,2013-07-05,False,18338.708763924216,RandomForest
1,1,2013-07-12,False,17251.181014425998,RandomForest
1,1,2013-07-19,False,17152.46671888823,RandomForest
1,1,2013-07-26,False,16154.266212325634,RandomForest
1,2,2012-11-02,False,48562.81308172201,RandomForest
1,2,2012-11-09,False,46439.78756248153,RandomForest
1,2,2012-11-16,False,45539.068109155996,RandomForest
1,2,2012-11-23,True,46414.06254412105,RandomForest
1,2,2012-11-30,False,46482.88976239921,RandomForest
1,2,2012-12-07,False,50466.230371883765,RandomForest
1,2,2012-12-14,False,52429.19780436162,RandomForest
1,2,2012-12-21,False,65888.29087603513,RandomForest
1,2,2012-12-28,True,44632.431352733634,RandomForest
1,2,2013-01-04,False,44677.86504251659,RandomForest
1,2,2013-01-11,False,44747.94567828435,RandomForest
1,2,2013-01-18,False,43962.20598045507,RandomForest
1,2,2013-01-25,False,41692.017757615846,RandomForest
1,2,2013-02-01,False,57648.67449780172,RandomForest
1,2,2013-02-08,True,52033.59551390798,RandomForest
1,2,2013-02-15,False,47470.157250851255,RandomForest
1,2,2013-02-22,False,48509.73326507404,RandomForest
1,2,2013-03-01,False,53549.18768809016,RandomForest
1,2,2013-03-08,False,49014.620830548265,RandomForest
1,2,2013-03-15,False,46829.775692291754,RandomForest
1,2,2013-03-22,False,45949.28797632101,RandomForest
1,2,2013-03-29,False,46992.369373365545,RandomForest
1,2,2013-04-05,False,53301.276603068734,RandomForest
1,2,2013-04-12,False,44868.47814682953,RandomForest
1,2,2013-04-19,False,45742.89270423279,RandomForest
1,2,2013-04-26,False,45766.098431666825,RandomForest
1,2,2013-05-03,False,49569.075448731586,RandomForest
1,2,2013-05-10,False,47398.68712913776,RandomForest
1,2,2013-05-17,False,45668.81948451884,RandomForest
1,2,2013-05-24,False,46308.232468304726,RandomForest
1,2,2013-05-31,False,47712.10699298121,RandomForest
1,2,2013-06-07,False,50194.394125776365,RandomForest
1,2,2013-06-14,False,47326.25080544499,RandomForest
1,2,2013-06-21,False,46820.42806296576,RandomForest
1,2,2013-06-28,False,48598.90744891114,RandomForest
1,2,2013-07-05,False,51078.68883690049,RandomForest
1,2,2013-07-12,False,45321.00564787062,RandomForest
1,2,2013-07-19,False,44983.49983865206,RandomForest
1,2,2013-07-26,False,44251.752188925064,RandomForest
1,3,2012-11-02,False,9303.586714744566,RandomForest
1,3,2012-11-09,False,10368.80638094522,RandomForest
1,3,2012-11-16,False,10531.472637608364,RandomForest
1,3,2012-11-23,True,9382.665111797054,RandomForest
1,3,2012-11-30,False,10500.192128658924,RandomForest
1,3,2012-12-07,False,13496.914477370481,RandomForest
1,3,2012-12-14,False,13772.18115517537,RandomForest
1,3,2012-12-21,False,14233.34368412334,RandomForest
1,3,2012-12-28,True,10474.926859558009,RandomForest
1,3,2013-01-04,False,15140.861554794481,RandomForest
1,3,2013-01-11,False,14993.92463462808,RandomForest
1,3,2013-01-18,False,12079.741729967014,RandomForest
1,3,2013-01-25,False,10833.228695578016,RandomForest
1,3,2013-02-01,False,13389.5110222807,RandomForest
1,3,2013-02-08,True,13115.851505627348,RandomForest
1,3,2013-02-15,False,10577.884848511872,RandomForest
1,3,2013-02-22,False,10811.274762430252,RandomForest
1,3,2013-03-01,False,11986.23099942437,RandomForest
1,3,2013-03-08,False,12835.406870429006,RandomForest
1,3,2013-03-15,False,9205.161866179827,RandomForest
1,3,2013-03-22,False,8030.848500228375,RandomForest
1,3,2013-03-29,False,9102.410170972924,RandomForest
1,3,2013-04-05,False,9723.546346727693,RandomForest
1,3,2013-04-12,False,8049.137037685624,RandomForest
1,3,2013-04-19,False,9000.840270020784,RandomForest
1,3,2013-04-26,False,8979.683218378364,RandomForest
1,3,2013-05-03,False,10824.391660119538,RandomForest
1,3,2013-05-10,False,10626.479889390024,RandomForest
1,3,2013-05-17,False,8668.497299476443,RandomForest
1,3,2013-05-24,False,8423.902678048215,RandomForest
1,3,2013-05-31,False,7307.357516828167,RandomForest
1,3,2013-06-07,False,8713.940148769747,RandomForest
1,3,2013-06-14,False,8016.112778831914,RandomForest
1,3,2013-06-21,False,7630.158348534503,RandomForest
1,3,2013-06-28,False,7796.564644511627,RandomForest
1,3,2013-07-05,False,8537.59271830933,RandomForest
1,3,2013-07-12,False,13596.301947584516,RandomForest
1,3,2013-07-19,False,20713.951409827347,RandomForest
1,3,2013-07-26,False,22152.701681328337,RandomForest
1,4,2012-11-02,False,40695.274092607724,RandomForest
1,4,2012-11-09,False,38703.392406136256,RandomForest
1,4,2012-11-16,False,38876.39759654446,RandomForest
1,4,2012-11-23,True,47750.79787268431,RandomForest
1,4,2012-11-30,False,39033.59394582043,RandomForest
1,4,2012-12-07,False,39548.755437992324,RandomForest
1,4,2012-12-14,False,39228.45727421183,RandomForest
1,4,2012-12-21,False,48311.09875414363,RandomForest
1,4,2012-12-28,True,39227.650193478454,RandomForest
1,4,2013-01-04,False,41140.81927215897,RandomForest
1,4,2013-01-11,False,38346.39303704498,RandomForest
1,4,2013-01-18,False,34885.51395967221,RandomForest
1,4,2013-01-25,False,34845.29292996751,RandomForest
1,4,2013-02-01,False,41273.00778949696,RandomForest
1,4,2013-02-08,True,40193.81349829925,RandomForest
1,4,2013-02-15,False,37900.77371275154,RandomForest
1,4,2013-02-22,False,36768.27363019031,RandomForest
1,4,2013-03-01,False,39074.50165463018,RandomForest
1,4,2013-03-08,False,39737.67245356002,RandomForest
1,4,2013-03-15,False,38951.59484990148,RandomForest
1,4,2013-03-22,False,38422.34098538283,RandomForest
1,4,2013-03-29,False,38700.93535036926,RandomForest
1,4,2013-04-05,False,42701.13408562632,RandomForest
1,4,2013-04-12,False,38588.082459640646,RandomForest
1,4,2013-04-19,False,37398.376959498615,RandomForest
1,4,2013-04-26,False,37724.73243771833,RandomForest
1,4,2013-05-03,False,41216.36843652412,RandomForest
1,4,2013-05-10,False,36699.76876723246,RandomForest
1,4,2013-05-17,False,36261.34615922123,RandomForest
1,4,2013-05-24,False,38657.92237978576,RandomForest
1,4,2013-05-31,False,40764.67867507935,RandomForest
1,4,2013-06-07,False,41230.76429837009,RandomForest
1,4,2013-06-14,False,39857.37530892974,RandomForest
1,4,2013-06-21,False,38562.222643408946,RandomForest
1,4,2013-06-28,False,40211.28188702745,RandomForest
1,4,2013-07-05,False,44972.290644188884,RandomForest
1,4,2013-07-12,False,38658.65243628599,RandomForest
1,4,2013-07-19,False,38500.4923456319,RandomForest
1,4,2013-07-26,False,35793.67740666446,RandomForest
1,5,2012-11-02,False,32944.81144521264,RandomForest
1,5,2012-11-09,False,31383.045222333403,RandomForest
1,5,2012-11-16,False,28321.282438852173,RandomForest
1,5,2012-11-23,True,84235.85176954823,RandomForest
1,5,2012-11-30,False,32956.676068091954,RandomForest
1,5,2012-12-07,False,41629.84245567746,RandomForest
1,5,2012-12-14,False,42880.50980497798,RandomForest
1,5,2012-12-21,False,61053.0740112485,RandomForest
1,5,2012-12-28,True,36485.44366696749,RandomForest
1,5,2013-01-04,False,23954.075055944348,RandomForest
1,5,2013-01-11,False,20881.379950795264,RandomForest
1,5,2013-01-18,False,20496.48691960764,RandomForest
1,5,2013-01-25,False,21671.13459225055,RandomForest
1,5,2013-02-01,False,29252.23649274908,RandomForest
1,5,2013-02-08,True,38735.571287436454,RandomForest
1,5,2013-02-15,False,46767.44239195424,RandomForest
1,5,2013-02-22,False,31597.695733930046,RandomForest
1,5,2013-03-01,False,31077.869112957014,RandomForest
1,5,2013-03-08,False,26285.653692777567,RandomForest
1,5,2013-03-15,False,30420.63645944924,RandomForest
1,5,2013-03-22,False,26745.446165361165,RandomForest
1,5,2013-03-29,False,22915.954070924927,RandomForest
1,5,2013-04-05,False,29277.50786932185,RandomForest
1,5,2013-04-12,False,19360.224365644994,RandomForest
1,5,2013-04-19,False,17939.3080084213,RandomForest
1,5,2013-04-26,False,18143.207986973026,RandomForest
1,5,2013-05-03,False,19466.115593521303,RandomForest
1,5,2013-05-10,False,17627.893067482208,RandomForest
1,5,2013-05-17,False,18275.097889075583,RandomForest
1,5,2013-05-24,False,18967.003403399543,RandomForest
